row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
2561	224	23	female	gyet	gyetnek	gyetnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
2569	224	23	female	feg	fegnek	fegnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
2571	225	38	female	arzi	arzinek	arzinak	nak	6	3	3	1	0	0	0	0	0	0	0	0
2575	225	38	female	szálgutet	szálgutetnek	szálgutetnak	nek	2	6	-4	1	1	1	0	0	0	0	0	0
2586	227	34	female	táskeg	táskegnek	táskegnak	nek	2	6	-4	1	1	1	0	0	0	0	0	0
2591	227	34	female	fángég	fángégnak	fángégnek	nek	2	6	-4	1	1	0	0	0	0	0	0	0
2595	227	34	female	áztelter	áztelternak	áztelternek	nek	1	7	-6	1	1	1	1	0	1	0	0	0
2620	230	20	female	tardadik	tardadiknek	tardadiknak	nak	7	1	6	1	0	0	0	0	0	0	0	0
2621	230	20	female	ósésszer	ósésszernak	ósésszernek	nek	1	7	-6	1	1	1	1	0	1	0	0	0
2628	230	20	female	gyábisztér	gyábisztérnak	gyábisztérnek	nek	1	7	-6	1	1	0	1	0	1	0	0	0
2629	230	20	female	vályaszi	vályaszinak	vályaszinek	nak	7	1	6	1	0	0	0	0	0	0	0	0
2648	232	25	female	okfig	okfignak	okfignek	nak	5	2	3	1	0	0	0	0	0	0	0	0
2649	232	25	female	gyiv	gyivnak	gyivnek	nek	1	7	-6	0	0	0	0	0	0	0	0	0
2673	234	20	female	zét	zétnek	zétnak	nek	1	7	-6	0	1	0	0	0	0	0	0	0
2677	234	20	female	bálseg	bálsegnak	bálsegnek	nek	3	7	-4	1	1	1	0	0	0	0	0	0
2679	234	20	female	oger	ogernek	ogernak	nek	6	7	-1	1	1	1	0	0	1	0	0	0
2730	238	18	male	kápeh	kápehnek	kápehnak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
2732	238	18	male	rárlollgi	rárlollginek	rárlollginak	nak	7	1	6	1	0	0	0	0	0	0	0	0
2740	240	37	female	varé	varének	varénak	nak	6	2	4	1	1	0	0	0	0	0	0	0
2744	240	37	female	aér	aérnak	aérnek	nak	7	2	5	1	1	0	0	0	1	0	0	0
2747	240	37	female	ké	kénak	kének	nek	1	7	-6	0	1	0	0	0	0	0	0	0
2768	241	52	female	tómiged	tómigednek	tómigednak	nek	1	7	-6	1	1	1	1	0	0	0	0	0
2807	247	41	male	áté	áténak	átének	nak	7	1	6	1	1	0	0	0	0	0	0	0
2810	247	41	male	záze	zázének	zázénak	nak	7	1	6	1	1	1	0	0	0	0	0	0
2815	247	41	male	szambír	szambírnak	szambírnek	nak	4	4	0	1	0	0	0	0	1	0	0	0
2816	248	51	female	ig	ignek	ignak	nek	1	7	-6	0	0	0	0	0	0	0	0	0
2819	248	51	female	pagze	pagzének	pagzénak	nak	6	4	2	1	1	1	0	0	0	0	0	0
2831	250	53	male	szuptíg	szuptígnak	szuptígnek	nek	1	7	-6	1	0	0	0	0	0	0	0	0
2852	250	53	male	ukek	ukeknak	ukeknek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
2868	253	70	female	bócsíg	bócsígnak	bócsígnek	nak	7	1	6	1	0	0	0	0	0	0	0	0
2874	253	70	female	ze	zének	zénak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
2898	256	45	male	gyék	gyéknek	gyéknak	nek	1	7	-6	0	1	0	0	0	0	0	0	0
2908	256	45	male	vákség	vákségnak	vákségnek	nak	7	4	3	1	1	0	0	0	0	0	0	0
2945	263	19	female	kalég	kalégnak	kalégnek	nek	2	6	-4	1	1	0	0	0	0	0	0	0
2947	263	19	female	ásszir	ásszirnek	ásszirnak	nak	6	2	4	1	0	0	0	0	1	0	0	0
2950	263	19	female	szek	szeknek	szeknak	nek	2	6	-4	0	1	1	0	0	0	0	0	0
2971	265	44	female	soseg	sosegnak	sosegnek	nek	2	6	-4	1	1	1	0	0	0	0	0	0
2979	265	44	female	tanláe	tanláének	tanláénak	nek	2	6	-4	1	1	1	0	0	0	0	0	0
3055	271	38	female	ig	ignak	ignek	nek	4	4	0	0	0	0	0	0	0	0	0	0
3057	271	38	female	mámer	mámernak	mámernek	nak	7	2	5	1	1	1	0	0	1	0	0	0
3061	271	38	female	eg	egnek	egnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
3083	274	20	female	szárdóncse	szárdóncsének	szárdóncsénak	nek	3	7	-4	1	1	1	0	0	0	0	0	0
3085	274	20	female	jér	jérnek	jérnak	nek	4	7	-3	0	1	0	0	0	1	0	0	0
3093	274	20	female	arjázi	arjázinek	arjázinak	nek	4	7	-3	1	0	0	0	0	0	0	0	0
3169	281	38	female	jéj	jéjnek	jéjnak	nek	1	7	-6	0	1	0	0	0	0	0	0	0
3170	281	38	female	lalkonkér	lalkonkérnak	lalkonkérnek	nek	5	6	-1	1	1	0	0	0	1	0	0	0
3172	281	38	female	ket	ketnak	ketnek	nek	1	7	-6	0	1	1	0	0	0	0	0	0
3214	285	26	female	záve	závénak	závének	nak	7	1	6	1	1	1	0	0	0	0	0	0
3265	290	51	female	azek	azeknak	azeknek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
3292	292	57	female	kársir	kársirnek	kársirnak	nak	7	1	6	1	0	0	0	0	1	0	0	0
3293	292	57	female	ólormek	ólormeknek	ólormeknak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
3298	292	57	female	keg	kegnek	kegnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
3303	293	43	male	zóger	zógernak	zógernek	nek	1	6	-5	1	1	1	0	0	1	0	0	0
3306	293	43	male	jotkik	jotkiknak	jotkiknek	nak	6	1	5	1	0	0	0	0	0	0	0	0
3309	293	43	male	basszalek	basszaleknek	basszaleknak	nek	1	6	-5	1	1	1	0	0	0	0	0	0
3317	294	18	male	lázmepé	lázmepénak	lázmepének	nak	6	3	3	1	1	0	1	0	0	0	0	0
3324	294	18	male	frunysir	frunysirnek	frunysirnak	nak	6	2	4	1	0	0	0	0	1	0	0	0
